Department,emmean,SE,df,lower.CL,upper.CL
Alumni Aspen Grove,13.249999999999917,0.22753494780112152,1794,12.803738619732204,13.696261380267629
Auxiliary Administration Offic,15.857142857143051,0.4788284402874418,1794,14.918022767068448,16.796262947217656
BYU Broadcasting Operations,13.000000000000096,0.400616615556137,1794,12.214275760519643,13.78572423948055
BYU Continuing Education,12.400000000000052,0.566557451031524,1794,11.288818124241455,13.511181875758648
BYU Security,13.846153846153937,0.3513640153411724,1794,13.157028100953646,14.535279591354229
BYU Store Campus Store,12.058823529411805,0.17739601906561558,1794,11.710898988205003,12.406748070618608
BYUB Operations,13.804347826087021,0.264158773615634,1794,13.286256605099833,14.322439047074209
Campus Life Facility Adm & Srv,12.172500000000053,0.31671524341637286,1794,11.551330447609569,12.793669552390536
CE Finance & Business Services,11.200000000000184,0.566557451031513,1794,10.088818124241609,12.31118187575876
CE IS Course Development,11.499999999999956,0.5665574510315432,1794,10.388818124241322,12.61118187575859
CE Marketing & Customer Suppor,11.999999999999972,0.566557451031542,1794,10.88881812424134,13.111181875758604
CE The Student Success Center,12.409090909090954,0.3819729555629756,1794,11.659932241282867,13.158249576899042
CE Youth Programs,12.500000000000155,0.4479029926497237,1794,11.62153359447632,13.378466405523989
Cntr for Teaching and Learning,13.000000000000071,0.517193826754306,1794,11.98563436859363,14.014365631406513
Dining Services,12.275899470899505,0.04607528814926637,1794,12.185532598098513,12.366266343700497
Facilities,13.154385964912343,0.16779983515228478,1794,12.825282296366424,13.483489633458262
"Family, Home, Social Sciences",14.389473684210568,0.2906378399854409,1794,13.819449409331726,14.95949795908941
Fine Arts and Communications,13.588000000000092,0.5665574510315269,1794,12.47681812424149,14.699181875758693
For the Strength of Youth,12.000000000000206,0.4479029926497089,1794,11.1215335944764,12.878466405524012
History,13.00000000000008,0.3271020968644379,1794,12.358458844912223,13.641541155087937
Housing Administration,12.247457627118713,0.11662400567624089,1794,12.018724457781936,12.47619079645549
Intramurals,13.40000000000007,0.3271020968644378,1794,12.758458844912212,14.041541155087927
IT Offices,14.100000000000065,0.40061661555615663,1794,13.314275760519573,14.885724239480558
Laundries,12.499999999999991,0.5171938267543331,1794,11.485634368593496,13.514365631406486
Lee Library,12.264705882352994,0.3072589180820999,1794,11.662082899782726,12.86732886492326
PF Acad & Athletic Bldg Care,14.378703703703785,0.1219037540286003,1794,14.139615431513755,14.617791975893814
PF Grounds Maintenance,14.890410958904235,0.10484616018461047,1794,14.684777527152688,15.096044390655782
PF Moving,14.000000000000068,0.47882844028744204,1794,13.060879909925463,14.939120090074672
Physical Facilities Division,14.527000000000033,0.12668609736655015,1794,14.278532179043838,14.775467820956228
Print and Mail Production Ctr,12.378787878787934,0.22053218871744337,1794,11.946260920263189,12.811314837312679
Retail,12.110236220472505,0.11241573315073106,1794,11.889756682166588,12.330715758778421
Risk Management and Safety,12.071428571428628,0.47882844028743476,1794,11.132308481354038,13.010548661503218
School of Music,12.250000000000062,0.2533721947330985,1794,11.753064358087673,12.74693564191245
Sorensen Center,13.000000000000073,0.5171938267543214,1794,11.985634368593601,14.014365631406545
Testing Services,12.000000000000059,0.2003083077780774,1794,11.607137880259813,12.392862119740304
Vending,12.000000000000053,0.422286991221831,1794,11.171773930146072,12.828226069854034
